container_id,timestamp,commodity,temperature,humidity,vibration,condition,date,hour,minute,temperature_min,temperature_max,humidity_min,humidity_max,temperature_deviation,humidity_deviation,temperature_risk_score,humidity_risk_score,vibration_risk_score,microclimate_risk_score,microclimate_risk,temperature_excursion,humidity_excursion,vibration_anomaly,exposure_minutes,exposure_multiplier,microclimate_severity,temperature_severity,humidity_severity,vibration_severity,spoilage_risk_score,spoilage_risk,spoilage_flag,market_price_per_kg,spoilage_value_factor,cargo_value,potential_spoilage_loss,opportunity_score,recommended_action,arbitrage_opportunity
CONT_001,2026-09-10 17:39:32.831215,Avocado,3.94,71.79,0.29,WARNING,2026-09-10,17,39,5.0,13.0,85.0,95.0,1.06,13.21,0.212,0.6605000000000001,0.2249999999999999,37.22,Medium,True,True,False,0.20124285,0.020124285,0.3722,0.212,0.6605000000000001,0.2249999999999999,33.35,Medium,False,180,0.45,18000,2701.35,60.03,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:39:44.905786,Mango,11.44,86.78,0.15,NORMAL,2026-09-10,17,39,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0989922166666666,0.0098992216666666,0.0,0.0,0.0,0.0,0.1,Low,False,140,0.4,14000,5.6,0.14,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:39:50.845319,Avocado,11.47,87.74,0.08,NORMAL,2026-09-10,17,39,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0667680166666666,0.0066768016666666,0.0,0.0,0.0,0.0,0.07,Low,False,180,0.45,18000,5.67,0.13,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:39:54.851400,Banana,13.88,93.39,0.12,NORMAL,2026-09-10,17,39,13.0,14.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0345706166666666,0.0034570616666666,0.0,0.0,0.0,0.0,0.03,Low,False,70,0.35,7000,0.74,0.02,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:39:56.925637,Tomato,11.81,86.83,0.08,NORMAL,2026-09-10,17,39,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.13436915,0.0134369149999999,0.0,0.0,0.0,0.0,0.13,Low,False,60,0.3,6000,2.34,0.08,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:40:04.987786,Tomato,11.79,94.41,0.17,NORMAL,2026-09-10,17,40,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0728499166666666,0.0072849916666666,0.0,0.0,0.0,0.0,0.07,Low,False,60,0.3,6000,1.26,0.04,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:40:09.358781,Tomato,11.85,85.11,0.1,NORMAL,2026-09-10,17,40,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.03351275,0.003351275,0.0,0.0,0.0,0.0,0.03,Low,False,60,0.3,6000,0.54,0.02,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:40:11.369546,Avocado,11.91,91.22,0.16,NORMAL,2026-09-10,17,40,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0333881666666666,0.0033388166666666,0.0,0.0,0.0,0.0,0.03,Low,False,180,0.45,18000,2.43,0.05,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:40:13.372836,Tomato,10.04,89.86,0.08,NORMAL,2026-09-10,17,40,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0667847666666666,0.0066784766666666,0.0,0.0,0.0,0.0,0.07,Low,False,60,0.3,6000,1.26,0.04,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:40:17.379922,Tomato,10.26,92.72,0.06,NORMAL,2026-09-10,17,40,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.3732678333333333,0.0373267833333333,0.0,0.0,0.0,0.0,0.37,Low,False,60,0.3,6000,6.66,0.22,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:40:39.775992,Mango,11.08,86.35,0.11,NORMAL,2026-09-10,17,40,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0354098833333333,0.0035409883333333,0.0,0.0,0.0,0.0,0.04,Low,False,140,0.4,14000,2.24,0.06,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:40:41.900585,Mango,4.03,72.37,0.54,ANOMALY,2026-09-10,17,40,10.0,13.0,85.0,90.0,5.97,12.63,1.0,0.6315000000000001,0.85,83.35,Critical,True,True,True,0.00267435,0.000267435,0.8334999999999999,1.0,0.6315000000000001,0.85,75.48,High,True,140,0.4,14000,4226.88,105.67,PRIORITIZE_DELIVERY,True
CONT_001,2026-09-10 17:40:42.061046,Tomato,11.63,85.72,0.08,NORMAL,2026-09-10,17,40,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0355659666666666,0.0035565966666666,0.0,0.0,0.0,0.0,0.04,Low,False,60,0.3,6000,0.72,0.02,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:40:44.195004,Avocado,8.73,87.53,0.19,NORMAL,2026-09-10,17,40,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0285563666666666,0.0028556366666666,0.0,0.0,0.0,0.0,0.03,Low,False,180,0.45,18000,2.43,0.05,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:40:45.908386,Mango,11.48,85.05,0.19,NORMAL,2026-09-10,17,40,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.2729993333333333,0.0272999333333333,0.0,0.0,0.0,0.0,0.27,Low,False,140,0.4,14000,15.12,0.38,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:41:02.288346,Mango,10.02,85.21,0.09,NORMAL,2026-09-10,17,41,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.4389713,0.04389713,0.0,0.0,0.0,0.0,0.44,Low,False,140,0.4,14000,24.64,0.62,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:41:28.626624,Avocado,5.25,92.05,0.2,NORMAL,2026-09-10,17,41,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.06688815,0.006688815,0.0,0.0,0.0,0.0,0.07,Low,False,180,0.45,18000,5.67,0.13,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:41:32.639913,Avocado,8.11,90.35,0.19,NORMAL,2026-09-10,17,41,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.13381025,0.013381025,0.0,0.0,0.0,0.0,0.13,Low,False,180,0.45,18000,10.53,0.23,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:41:40.668528,Mango,11.47,89.87,0.17,NORMAL,2026-09-10,17,41,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0334046333333333,0.0033404633333333,0.0,0.0,0.0,0.0,0.03,Low,False,140,0.4,14000,1.68,0.04,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:41:42.672806,Tomato,10.67,93.77,0.11,NORMAL,2026-09-10,17,41,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.1002408666666666,0.0100240866666666,0.0,0.0,0.0,0.0,0.1,Low,False,60,0.3,6000,1.8,0.06,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:41:48.687258,Mango,12.41,89.67,0.18,NORMAL,2026-09-10,17,41,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.07190445,0.0071904449999999,0.0,0.0,0.0,0.0,0.07,Low,False,140,0.4,14000,3.92,0.1,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:41:53.001525,Tomato,14.4,67.92,0.25,WARNING,2026-09-10,17,41,10.0,12.0,85.0,95.0,2.4,17.08,0.48,0.8539999999999999,0.1249999999999999,52.21,Medium,True,True,False,0.2029856833333333,0.0202985683333333,0.5221,0.48,0.8539999999999999,0.1249999999999999,47.36,Medium,False,60,0.3,6000,852.48,28.42,MONITOR_CLOSELY,False
CONT_001,2026-09-10 17:42:05.180666,Avocado,11.71,89.09,0.18,NORMAL,2026-09-10,17,42,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.2004815333333333,0.0200481533333333,0.0,0.0,0.0,0.0,0.2,Low,False,180,0.45,18000,16.2,0.36,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:42:17.209558,Tomato,10.64,86.5,0.2,NORMAL,2026-09-10,17,42,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.033582,0.0033582,0.0,0.0,0.0,0.0,0.03,Low,False,60,0.3,6000,0.54,0.02,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:42:19.224478,Mango,12.6,87.92,0.11,NORMAL,2026-09-10,17,42,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.03339975,0.003339975,0.0,0.0,0.0,0.0,0.03,Low,False,140,0.4,14000,1.68,0.04,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:42:21.228463,Tomato,11.92,85.43,0.15,NORMAL,2026-09-10,17,42,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.1006263666666666,0.0100626366666666,0.0,0.0,0.0,0.0,0.1,Low,False,60,0.3,6000,1.8,0.06,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:42:27.266045,Avocado,10.27,85.47,0.13,NORMAL,2026-09-10,17,42,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0668204166666666,0.0066820416666666,0.0,0.0,0.0,0.0,0.07,Low,False,180,0.45,18000,5.67,0.13,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:42:31.275270,Avocado,10.58,91.09,0.11,NORMAL,2026-09-10,17,42,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,2.213333333333333e-05,2.213333333333333e-06,0.0,0.0,0.0,0.0,0.0,Low,False,180,0.45,18000,0.0,0.0,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:42:31.276598,Banana,18.97,100.0,0.45,ANOMALY,2026-09-10,17,42,13.0,14.0,85.0,95.0,4.97,5.0,0.994,0.25,0.625,64.13,High,True,True,True,0.0334395333333333,0.0033439533333333,0.6413,0.994,0.25,0.625,58.77,Medium,False,70,0.35,7000,1439.86,41.14,MONITOR_CLOSELY,False
CONT_001,2026-09-10 17:42:33.282970,Tomato,11.18,93.24,0.16,NORMAL,2026-09-10,17,42,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.2004070833333333,0.0200407083333333,0.0,0.0,0.0,0.0,0.2,Low,False,60,0.3,6000,3.6,0.12,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:42:45.307395,Mango,12.51,88.64,0.12,NORMAL,2026-09-10,17,42,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.1727036166666666,0.0172703616666666,0.0,0.0,0.0,0.0,0.17,Low,False,140,0.4,14000,9.52,0.24,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:42:55.669612,Mango,11.3,87.45,0.05,NORMAL,2026-09-10,17,42,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,6.783333333333334e-06,6.783333333333334e-07,0.0,0.0,0.0,0.0,0.0,Low,False,140,0.4,14000,0.0,0.0,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:42:55.670019,Avocado,5.95,88.03,0.17,NORMAL,2026-09-10,17,42,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.1378298,0.01378298,0.0,0.0,0.0,0.0,0.14,Low,False,180,0.45,18000,11.34,0.25,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:43:03.939807,Tomato,13.31,100.0,0.28,WARNING,2026-09-10,17,43,10.0,12.0,85.0,95.0,1.31,5.0,0.262,0.25,0.2,24.23,Low,True,True,False,0.34803985,0.0348039849999999,0.2423,0.262,0.25,0.2,22.24,Low,False,60,0.3,6000,400.32,13.34,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:43:24.822198,Tomato,11.88,87.58,0.06,NORMAL,2026-09-10,17,43,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.1022222166666666,0.0102222216666666,0.0,0.0,0.0,0.0,0.1,Low,False,60,0.3,6000,1.8,0.06,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:43:30.955531,Tomato,11.28,91.27,0.15,NORMAL,2026-09-10,17,43,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.3681128666666666,0.0368112866666666,0.0,0.0,0.0,0.0,0.37,Low,False,60,0.3,6000,6.66,0.22,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:43:53.042303,Tomato,7.19,100.0,0.32,WARNING,2026-09-10,17,43,10.0,12.0,85.0,95.0,2.81,5.0,0.562,0.25,0.3,38.73,Medium,True,True,False,0.0052162999999999,0.0005216299999999,0.3873,0.562,0.25,0.3,35.42,Medium,False,60,0.3,6000,637.56,21.25,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:43:53.355281,Avocado,10.61,85.58,0.15,NORMAL,2026-09-10,17,43,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0333778166666666,0.0033377816666666,0.0,0.0,0.0,0.0,0.03,Low,False,180,0.45,18000,2.43,0.05,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:43:55.357950,Avocado,7.31,87.11,0.06,NORMAL,2026-09-10,17,43,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0616001666666666,0.0061600166666666,0.0,0.0,0.0,0.0,0.06,Low,False,180,0.45,18000,4.86,0.11,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:43:59.053960,Banana,13.21,88.79,0.05,NORMAL,2026-09-10,17,43,13.0,14.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.1356511166666666,0.0135651116666666,0.0,0.0,0.0,0.0,0.14,Low,False,70,0.35,7000,3.43,0.1,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:44:07.193027,Banana,17.75,100.0,0.38,ANOMALY,2026-09-10,17,44,13.0,14.0,85.0,95.0,3.75,5.0,0.75,0.25,0.4499999999999999,50.0,Medium,True,True,True,0.1387827499999999,0.0138782749999999,0.5,0.75,0.25,0.4499999999999999,45.89,Medium,False,70,0.35,7000,1124.3,32.12,MONITOR_CLOSELY,False
CONT_001,2026-09-10 17:44:15.519992,Tomato,10.4,93.95,0.13,NORMAL,2026-09-10,17,44,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0333966333333333,0.0033396633333333,0.0,0.0,0.0,0.0,0.03,Low,False,60,0.3,6000,0.54,0.02,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:44:17.523790,Tomato,8.85,100.0,0.26,WARNING,2026-09-10,17,44,10.0,12.0,85.0,95.0,1.15,5.0,0.2299999999999999,0.25,0.15,21.7,Low,True,True,False,0.0334224166666666,0.0033422416666666,0.217,0.2299999999999999,0.25,0.15,19.65,Low,False,60,0.3,6000,353.7,11.79,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:44:19.529135,Banana,13.01,92.83,0.13,NORMAL,2026-09-10,17,44,13.0,14.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.1972273,0.01972273,0.0,0.0,0.0,0.0,0.2,Low,False,70,0.35,7000,4.9,0.14,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:44:31.362773,Banana,7.15,100.0,0.52,ANOMALY,2026-09-10,17,44,13.0,14.0,85.0,95.0,5.85,5.0,1.0,0.25,0.7999999999999999,68.75,High,True,True,True,0.0667955166666666,0.0066795516666666,0.6875,1.0,0.25,0.7999999999999999,62.75,High,True,70,0.35,7000,1537.37,43.92,PRIORITIZE_DELIVERY,False
CONT_001,2026-09-10 17:44:35.370504,Tomato,11.29,88.18,0.1,NORMAL,2026-09-10,17,44,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.03721545,0.003721545,0.0,0.0,0.0,0.0,0.04,Low,False,60,0.3,6000,0.72,0.02,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:44:37.603431,Avocado,8.69,93.65,0.12,NORMAL,2026-09-10,17,44,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.1002513166666666,0.0100251316666666,0.0,0.0,0.0,0.0,0.1,Low,False,180,0.45,18000,8.1,0.18,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:44:43.618510,Avocado,-1.98,100.0,0.46,ANOMALY,2026-09-10,17,44,5.0,13.0,85.0,95.0,6.98,5.0,1.0,0.25,0.65,65.0,High,True,True,True,0.03016315,0.003016315,0.65,1.0,0.25,0.65,59.53,Medium,False,180,0.45,18000,4821.93,107.15,MONITOR_CLOSELY,False
CONT_001,2026-09-10 17:44:45.428299,Banana,13.29,94.97,0.19,NORMAL,2026-09-10,17,44,13.0,14.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.03693495,0.003693495,0.0,0.0,0.0,0.0,0.04,Low,False,70,0.35,7000,0.98,0.03,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:44:47.644396,Banana,13.97,91.96,0.17,NORMAL,2026-09-10,17,44,13.0,14.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0298218,0.00298218,0.0,0.0,0.0,0.0,0.03,Low,False,70,0.35,7000,0.74,0.02,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:44:49.433704,Banana,9.39,72.64,0.42,ANOMALY,2026-09-10,17,44,13.0,14.0,85.0,95.0,3.61,12.36,0.722,0.618,0.5499999999999999,64.26,High,True,True,True,0.0333865833333333,0.0033386583333333,0.6426000000000001,0.722,0.618,0.5499999999999999,58.16,Medium,False,70,0.35,7000,1424.92,40.71,MONITOR_CLOSELY,False
CONT_001,2026-09-10 17:44:51.436899,Mango,12.81,85.87,0.12,NORMAL,2026-09-10,17,44,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0035872166666666,0.0003587216666666,0.0,0.0,0.0,0.0,0.0,Low,False,140,0.4,14000,0.0,0.0,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:44:51.652132,Avocado,15.82,100.0,0.26,WARNING,2026-09-10,17,44,5.0,13.0,85.0,95.0,2.82,5.0,0.564,0.25,0.15,35.06,Medium,True,True,False,0.0631915666666666,0.0063191566666666,0.3506,0.564,0.25,0.15,32.37,Medium,False,180,0.45,18000,2621.97,58.27,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:44:55.443626,Tomato,4.08,68.63,0.45,ANOMALY,2026-09-10,17,44,10.0,12.0,85.0,95.0,5.92,16.37,1.0,0.8185,0.625,84.27,Critical,True,True,True,0.10015505,0.010015505,0.8427,1.0,0.8185,0.625,76.55,High,True,60,0.3,6000,1377.9,45.93,PRIORITIZE_DELIVERY,False
CONT_001,2026-09-10 17:45:01.452929,Avocado,10.65,90.24,0.19,NORMAL,2026-09-10,17,45,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.0036739833333333,0.0003673983333333,0.0,0.0,0.0,0.0,0.0,Low,False,180,0.45,18000,0.0,0.0,NORMAL_TRANSIT,False
CONT_001,2026-09-10 17:45:01.673368,Avocado,14.71,68.08,0.23,WARNING,2026-09-10,17,45,5.0,13.0,85.0,95.0,1.71,16.92,0.3419999999999999,0.8460000000000001,0.075,45.17,Medium,True,True,False,0.0667999,0.0066799899999999,0.4517,0.3419999999999999,0.8460000000000001,0.075,40.67,Medium,False,180,0.45,18000,3294.27,73.21,MONITOR_CLOSELY,False
CONT_001,2026-09-10 17:45:05.681362,Avocado,15.42,100.0,0.27,WARNING,2026-09-10,17,45,5.0,13.0,85.0,95.0,2.42,5.0,0.484,0.25,0.175,32.48,Medium,True,True,False,0.0334171,0.00334171,0.3248,0.484,0.25,0.175,29.83,Medium,False,180,0.45,18000,2416.23,53.69,NORMAL_TRANSIT,False
