feature,importance,importance_percent
numerical__vibration,0.5806075185222692,58.06075185222692
numerical__temperature,0.2065563614817946,20.65563614817946
numerical__humidity,0.1758798701390273,17.58798701390273
numerical__hour,0.007645064494745247,0.7645064494745247
categorical__commodity_Banana,0.006316099214723902,0.6316099214723903
categorical__commodity_Avocado,0.005384994852383825,0.5384994852383824
categorical__commodity_Mango,0.003383956179191267,0.3383956179191267
categorical__commodity_Tomato,0.003123011123020341,0.3123011123020341
categorical__container_id_CONT_004,0.0023664545524470387,0.23664545524470387
categorical__container_id_CONT_005,0.002257221603336532,0.2257221603336532
categorical__container_id_CONT_003,0.0022302053923364826,0.22302053923364826
categorical__container_id_CONT_001,0.002196564294401327,0.2196564294401327
categorical__container_id_CONT_002,0.0020526781503230293,0.20526781503230293
numerical__day_of_week,0.0,0.0
