container_id,timestamp,commodity,temperature,humidity,vibration,condition,date,hour,minute,temperature_min,temperature_max,humidity_min,humidity_max,temperature_deviation,humidity_deviation,temperature_risk_score,humidity_risk_score,vibration_risk_score,microclimate_risk_score,microclimate_risk,temperature_excursion,humidity_excursion,vibration_anomaly
CONT_001,2026-09-10 17:39:32.831215,Avocado,3.94,71.79,0.29,WARNING,2026-09-10,17,39,5.0,13.0,85.0,95.0,1.06,13.21,0.21200000000000002,0.6605000000000001,0.22499999999999992,37.22,Medium,True,True,False
CONT_004,2026-09-10 17:39:34.852445,Mango,11.72,88.98,0.12,NORMAL,2026-09-10,17,39,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_005,2026-09-10 17:39:36.870612,Tomato,10.18,91.05,0.15,NORMAL,2026-09-10,17,39,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_005,2026-09-10 17:39:38.890192,Avocado,6.54,85.3,0.17,NORMAL,2026-09-10,17,39,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_005,2026-09-10 17:39:40.899424,Tomato,14.06,100.0,0.33,WARNING,2026-09-10,17,39,10.0,12.0,85.0,95.0,2.06,5.0,0.41200000000000003,0.25,0.325,33.36,Medium,True,True,False
CONT_003,2026-09-10 17:39:42.903120,Mango,11.11,85.66,0.15,NORMAL,2026-09-10,17,39,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_001,2026-09-10 17:39:44.905786,Mango,11.44,86.78,0.15,NORMAL,2026-09-10,17,39,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_002,2026-09-10 17:39:46.908373,Banana,13.46,91.67,0.09,NORMAL,2026-09-10,17,39,13.0,14.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_004,2026-09-10 17:39:48.843009,Banana,13.26,87.92,0.18,NORMAL,2026-09-10,17,39,13.0,14.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_004,2026-09-10 17:39:48.911052,Tomato,10.43,93.04,0.19,NORMAL,2026-09-10,17,39,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_001,2026-09-10 17:39:50.845319,Avocado,11.47,87.74,0.08,NORMAL,2026-09-10,17,39,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_005,2026-09-10 17:39:50.913420,Avocado,5.74,85.64,0.16,NORMAL,2026-09-10,17,39,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_002,2026-09-10 17:39:52.847854,Banana,8.84,72.7,0.44,ANOMALY,2026-09-10,17,39,13.0,14.0,85.0,95.0,4.16,12.3,0.8320000000000001,0.615,0.6,69.81,High,True,True,True
CONT_002,2026-09-10 17:39:52.916815,Banana,16.13,100.0,0.21,WARNING,2026-09-10,17,39,13.0,14.0,85.0,95.0,2.13,5.0,0.426,0.25,0.024999999999999953,26.42,Medium,True,True,False
CONT_001,2026-09-10 17:39:54.851400,Banana,13.88,93.39,0.12,NORMAL,2026-09-10,17,39,13.0,14.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_004,2026-09-10 17:39:54.922909,Avocado,10.49,91.72,0.07,NORMAL,2026-09-10,17,39,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_005,2026-09-10 17:39:56.858209,Avocado,9.91,93.24,0.08,NORMAL,2026-09-10,17,39,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_001,2026-09-10 17:39:56.925637,Tomato,11.81,86.83,0.08,NORMAL,2026-09-10,17,39,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_004,2026-09-10 17:39:58.959971,Avocado,10.9,88.7,0.12,NORMAL,2026-09-10,17,39,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_004,2026-09-10 17:39:58.957750,Avocado,3.01,100.0,0.32,WARNING,2026-09-10,17,39,5.0,13.0,85.0,95.0,1.99,5.0,0.398,0.25,0.3,32.17,Medium,True,True,False
CONT_004,2026-09-10 17:40:00.968884,Avocado,12.57,91.16,0.19,NORMAL,2026-09-10,17,40,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_005,2026-09-10 17:40:01.278914,Avocado,12.88,87.29,0.12,NORMAL,2026-09-10,17,40,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_003,2026-09-10 17:40:02.971462,Mango,10.02,88.32,0.17,NORMAL,2026-09-10,17,40,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_003,2026-09-10 17:40:03.294240,Avocado,6.88,86.68,0.14,NORMAL,2026-09-10,17,40,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
CONT_001,2026-09-10 17:40:04.987786,Tomato,11.79,94.41,0.17,NORMAL,2026-09-10,17,40,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False
